ship_type,engine_power_kw,sfoc,cargo_load_pct,avg_speed_knots,distance_nm,wave_height_m,wind_speed_mps,current_speed_mps,monsoon_season,fuel_consumption_tons
Container,14237.41626,184.3170339,52.77773548,14.5182218,3956.302856,5.63171204,13.09220657,0.999589155,0,1361.831009
Container,15362.3297,170.7945556,57.72133242,16.53000893,4502.551206,4.216145819,17.06162775,0.213364319,1,1540.714233
Container,14176.47279,172.6947632,99.36652048,13.980703,5268.895814,5.949303028,7.226861117,-1.392964397,1,2064.222781
Tanker,12317.20372,160.0,42.7906689,13.08990172,3051.02459,0.9524152,15.68931357,-1.420756502,0,777.985427
Container,7900.82,183.18,62.22,11.69,55.96,1.09,9.87,0.03,0,7.3095
Container,10157.64849,166.2009001,59.07291892,13.4906634,1385.873348,2.009835419,8.437326533,1.44334962,0,259.9472378
Bulk Carrier,13000.33458,190.9151571,83.6720976,15.81933586,2539.852485,5.296379894,5.204099862,-0.306330769,1,785.0493345
Container,8766.1966,189.2276888,58.34847335,13.09098358,3877.038709,2.103784597,2.748718343,1.150585218,0,585.2304785
Bulk Carrier,12183.02797,180.5983085,81.3641117,8.0,2377.596799,1.366287191,3.319364515,1.730993495,0,814.1153929
Bulk Carrier,10136.70679,185.9304221,48.76012144,10.00940785,1029.138282,5.045316995,17.65082497,1.017899623,0,377.024646
Tanker,13821.87025,190.7387419,44.31790899,14.84062818,1230.962258,2.516659511,7.857939977,-0.462629325,1,347.6357689
Tanker,16710.67888,160.0,71.08973726,15.82284837,3751.258534,3.69673223,12.56601118,-0.49659705,0,1144.186205
Bulk Carrier,16652.94366,195.2860054,81.46592111,18.52920168,3744.79344,5.670374262,5.639899253,-0.681312683,0,1247.70541
Tanker,16568.5247,169.5640263,63.49532836,17.00172721,3918.133998,4.868285972,6.784328764,0.095676158,1,1279.076473
Container,5261.6,162.29,98.96,17.85,263.8,1.36,9.73,0.46,1,15.7477
Tanker,11659.12164,184.1591653,88.01476368,13.10587362,2578.760702,3.153502609,15.54953226,0.283553888,1,839.8866322
Bulk Carrier,29376.6,189.37,92.9,14.45,159.96,2.88,9.44,0.95,0,66.8837
Tanker,17866.15,184.82,75.53,8.1,174.62,0.7,3.23,0.45,0,84.5325
Tanker,21446.72,184.41,86.27,14.07,145.38,1.4,6.8,0.71,0,49.078
Container,7589.771461,175.9838901,50.36656898,11.51109115,5064.558922,2.4361804,13.18314705,1.556160237,1,999.1295251
Container,17658.96672,172.1217955,72.04490221,17.17601863,2083.475593,1.318812281,11.09417082,-1.654407024,0,595.9019897
Bulk Carrier,11769.59661,171.8069862,55.42687506,15.12808244,558.2002412,3.714314727,2.560835479,0.531396546,0,103.1516086
Tanker,18682.86415,180.2568651,56.4631449,14.33230381,2666.300269,2.617967892,14.98657853,-0.925341422,0,1266.947278
Tanker,9956.338602,166.935448,56.08843924,10.44894336,4943.654291,1.976665286,7.893238367,0.325788956,0,1062.09571
Tanker,14665.63252,175.3979397,43.61862304,16.20222113,724.0299962,4.372869038,5.4133135,0.228505314,1,194.2737027
Tanker,13824.79495,180.7578487,94.71657888,16.13414149,5905.949958,2.695679814,12.48706426,0.266076813,1,1733.223027
Tanker,6310.305444,193.619283,83.7728573,9.318271718,2721.847448,2.700749174,3.145222236,1.114061776,1,495.3586392
Tanker,18158.69227,161.1090746,76.16870817,12.10059587,794.2932118,3.17917448,6.641056984,0.20079014,1,350.13484
Bulk Carrier,8780.541007,186.6546098,84.6019491,16.60810381,533.9148651,5.578951009,16.7580299,-1.547848402,0,133.2139234
Tanker,14110.44709,203.7736291,46.47094382,9.454951702,4596.711622,1.495742282,15.91627182,1.163000959,0,2223.921519
Bulk Carrier,13868.94666,175.0306758,94.55835481,12.77969211,2629.553366,1.674564544,5.561806084,1.197069394,1,808.7492228
Bulk Carrier,5509.45,161.99,66.89,11.34,58.7,1.87,3.07,0.49,0,5.4021
Container,14390.46292,189.6277825,56.59738532,17.88870766,2645.180252,3.25332373,8.973352046,-1.165902488,1,722.2511538
Tanker,13255.69349,160.0,50.71234927,13.21258658,1895.045284,4.090952838,13.39393398,-1.6893131,1,628.6604317
Tanker,13758.92523,169.3317479,89.41946133,10.78238306,1905.695574,1.611423215,14.31572073,-0.422841008,1,761.5831327
Bulk Carrier,10066.86,180.24,51.84,10.93,234.5,1.79,8.39,1.03,1,45.646
Bulk Carrier,8388.922081,208.4797928,64.25518999,14.62634247,5966.786679,4.882926487,12.84435455,-0.565450622,0,1533.110752
Bulk Carrier,28948.77,172.89,99.62,13.19,53.17,2.65,4.83,0.75,0,21.2717
Tanker,17165.32,177.3,71.93,12.88,105.35,2.07,9.62,1.31,1,29.7318
Tanker,14613.1036,196.9861477,67.7100587,15.85064161,2991.34373,5.466521241,7.55826773,-0.490272966,0,982.0607835
Bulk Carrier,10696.10514,176.7813012,76.5934861,18.35376682,5418.451099,3.237267462,5.108839887,1.612239136,0,809.1881357
Tanker,14908.17,187.67,92.65,9.9,41.07,1.34,7.07,1.0,0,12.5522
Container,8273.1,172.44,51.79,19.1,41.58,0.85,3.54,1.0,1,3.6851
Bulk Carrier,20999.25,187.43,53.25,16.35,46.76,0.92,8.54,0.1,0,13.5052
Tanker,10501.18316,170.8705915,67.1670756,13.91859947,5303.649265,0.686174928,17.91625591,-1.939330918,0,1290.427686
Bulk Carrier,15720.63454,190.4464827,78.43084905,12.89400244,5446.306745,3.813829421,5.923190733,-1.591905091,1,2234.916805
Bulk Carrier,15938.00899,192.5441269,77.33249258,15.7846304,1324.477555,1.510600923,2.211289266,1.724204908,0,326.9460813
Tanker,11118.87156,160.0,79.71264833,14.25739624,3748.051903,4.490023061,15.80928117,-1.271096064,0,1015.036549
Container,14506.21,181.25,57.41,17.01,191.86,1.02,7.52,0.69,0,33.8158
Tanker,19045.94074,176.8219578,82.25569542,19.71954633,1631.750283,3.892693379,17.44479649,0.59741916,0,525.7296186
Tanker,22523.25484,160.0,64.55776171,12.44915884,3737.631503,4.867363626,16.00853767,-0.244917279,1,2483.830332
Bulk Carrier,12546.92896,173.4204951,79.21618955,14.0838337,3615.053906,5.344398977,10.80064121,0.141316148,0,1097.976107
Tanker,15199.94414,170.0673963,56.77758086,15.04997463,2393.621247,2.973695108,4.793935695,-0.773605403,1,670.7065802
Tanker,18082.32682,160.0,67.49448513,14.87731367,1567.869838,4.198645266,13.41999463,-0.070364991,0,598.9323047
Container,20636.1097,172.7252284,84.08998505,13.40998612,1322.897147,2.685966314,3.129670409,0.154695531,0,568.1987795
Bulk Carrier,21406.65383,213.1793707,69.11309524,17.45319951,5846.774336,0.725177522,8.917002107,-1.918742861,1,2710.194021
Bulk Carrier,19832.02,170.4,65.92,19.67,184.21,2.62,2.65,0.74,0,37.9166
Tanker,10577.1786,160.0662578,95.17754802,14.89800266,3834.688733,4.933644837,17.25892811,-0.837896537,0,1011.653864
Bulk Carrier,10838.90249,175.9037432,86.03104009,13.93644283,4535.067789,2.653343941,8.926718882,1.811719463,1,1011.840162
Tanker,8804.704648,176.94426,66.58951643,18.58208474,3469.382877,4.447032839,15.05630938,-1.224853097,0,644.0921893
Container,14378.59152,160.0,86.90861992,19.65327462,5165.566088,1.949942953,4.952876853,-0.596817483,0,920.5916559
Bulk Carrier,24524.97,166.55,66.67,8.35,37.46,2.87,3.83,0.97,0,20.8106
Tanker,15526.94731,196.5397682,66.23424659,11.20528827,4373.578473,2.134484087,11.22506589,1.747377272,0,1964.915517
Bulk Carrier,13737.16463,206.2482432,77.3396307,14.2122651,1233.62949,3.857422388,12.01266407,-1.504346118,0,525.8433143
Tanker,16296.10709,160.0609576,82.1491067,11.83286871,2865.327728,2.647057333,15.62249528,1.065386987,1,1157.863954
Container,13632.10936,171.3637707,87.02263812,16.12621586,1945.495249,5.986461012,3.045234337,-0.81259012,1,473.8256316
Container,16087.01306,181.8295142,93.5195722,13.21104881,3504.726092,5.117680251,14.98164264,1.112924961,0,1527.238062
Tanker,19710.08398,189.9326112,79.75913567,12.17738692,5790.472875,5.331333579,15.68821182,-1.588255269,0,4360.617461
Tanker,13496.36999,160.0,84.58278368,11.21459739,1098.512422,1.200697995,11.29581436,-1.260613074,0,378.7227955
Tanker,17707.76293,208.718031,60.05414503,15.11062947,2219.286402,5.836925454,7.449539105,0.14144122,0,967.0243766
Tanker,8033.686296,216.8123368,94.95785455,14.08471477,3023.214189,2.340318982,9.592161879,1.834322419,1,689.4607124
Container,9625.190461,160.0,68.1476987,11.44042352,2048.815435,1.011518929,5.495204956,0.437533416,0,371.7892953
Container,12148.28074,172.2760681,93.35121468,12.25446331,4592.595215,4.723279781,5.385204684,0.213379328,1,1377.217369
Tanker,10509.65624,162.3534678,48.02714639,12.18691066,5801.9877,1.852439986,11.33868926,0.430017818,1,1421.508978
Tanker,14567.34546,160.3342779,83.3524532,17.5916255,3335.792944,0.859365245,2.398449396,-1.216862593,0,618.7540853
Tanker,26645.46,167.86,95.03,14.28,299.48,2.94,2.25,0.83,0,111.5963
Bulk Carrier,8651.23,179.55,62.15,16.02,191.35,2.45,4.9,0.63,0,22.2446
Tanker,14056.0,160.18,82.69,9.86,259.13,2.41,2.62,0.79,1,65.6377
Bulk Carrier,14533.75138,160.0,78.39767881,14.70870424,2934.924303,5.055110249,4.553696075,-1.12893172,1,863.4059212
Container,15679.46824,193.8719082,74.4835899,16.02666559,5556.945754,1.337061207,8.826222475,-0.341324285,0,1755.731004
Container,15307.90171,195.47375,61.46408752,13.34247682,5128.571972,4.990166347,17.73310782,-0.076282589,0,2402.255809
Tanker,8822.43,186.39,68.73,19.81,161.6,1.03,7.51,0.76,1,16.0258
Bulk Carrier,14705.30676,203.1913775,69.30130586,13.74709248,4649.577896,5.649005473,8.633948444,-1.899031314,1,2054.695231
Tanker,10533.79388,190.4330356,98.20642957,13.45296818,3670.582079,2.759314738,9.534778594,-1.588139599,0,1046.402674
Bulk Carrier,12090.37786,166.2761858,47.45598993,11.44028998,622.9860106,2.32366487,6.496153073,-0.516466679,0,167.6154856
Bulk Carrier,9154.0,182.19,72.74,9.56,139.87,2.78,4.3,0.57,0,29.9127
Container,14599.67233,173.3385133,64.69720193,15.83751782,3076.571709,5.654540634,10.72193718,-0.443284542,0,936.0190017
Container,24520.1818,185.9896091,45.51748766,13.48137658,5498.743941,3.538558416,14.44796138,-1.154876859,1,3953.8007
Container,15937.96287,190.9976474,59.85040631,11.21067789,844.1536963,5.456900358,12.18235179,0.405206642,1,486.5457925
Container,13145.5145,208.4671559,44.83199544,13.28161603,2832.783403,0.580590534,12.32470492,1.031028938,0,861.9500962
Bulk Carrier,11027.66619,214.9223976,46.61094303,8.020165243,4131.232385,5.394596011,9.932012099,-0.945356878,1,2260.423461
Bulk Carrier,6380.135451,160.0,56.79512784,8.0,2470.785709,3.979320873,17.49490625,0.340536223,1,640.2089917
Bulk Carrier,16882.32,183.97,96.42,10.65,14.91,1.05,2.05,1.33,1,5.4014
Container,21732.23575,160.0,64.14437599,14.81978818,3349.384623,5.792042074,16.23391334,0.179459876,0,1740.886856
Bulk Carrier,20015.77,163.45,84.54,19.19,216.62,0.97,5.98,0.07,0,39.3919
Bulk Carrier,10548.2717,193.764341,73.43226701,16.33819311,2642.459721,5.890922917,10.98664612,1.412211064,0,591.0640062
Bulk Carrier,18373.41314,195.7975705,73.25787771,15.15999935,4907.265219,4.873110513,15.22007903,-1.40560397,1,2553.281949
Tanker,14421.87014,186.9229862,87.66702227,14.10397954,1921.014993,5.528041658,11.77559461,-0.021643752,0,826.939679
Tanker,13496.02647,160.0,84.72044086,11.68209137,5673.040733,2.449994549,4.260366688,1.914436357,0,1468.707038
Container,14128.41317,211.1789506,88.946896,13.71262664,1559.459968,2.647549458,9.873646225,-0.156830686,1,689.0425795
Bulk Carrier,12843.18608,160.0,43.41067614,14.07589051,2001.030559,2.44655854,14.13614626,1.37784841,1,544.4670306
Bulk Carrier,22371.23023,167.0030573,94.54270779,12.21487421,5081.483537,5.206903551,6.245741804,-0.884857974,0,2979.568563
Bulk Carrier,15956.92867,170.4170158,59.72184423,10.23836517,2732.555034,5.23769174,10.08042136,0.042590907,0,1385.057907
Bulk Carrier,12358.16051,194.4430953,65.10808454,13.00469263,3410.278652,0.647044866,3.033776444,1.624872904,1,853.5270181
Container,13253.41409,160.0,99.9364119,14.59339912,4168.285245,4.123044623,5.993592118,1.336642362,0,1027.949783
Container,19683.42079,180.6097763,86.64387073,11.34615578,1307.064189,0.733776145,15.23959392,1.560053118,0,702.13291
Container,15662.26477,176.1328176,96.23103873,12.70654418,5220.086527,1.941891868,7.572092077,-0.654684663,1,1902.073082
Bulk Carrier,29133.5,186.31,54.79,17.94,47.13,1.68,2.92,0.64,1,17.6036
Tanker,14037.36391,179.9787969,98.41726761,15.04739427,2141.418282,2.060770838,5.747612729,-1.625328477,0,621.8933398
Bulk Carrier,12926.29205,160.0,95.31976571,12.31631976,5059.437578,1.363410476,4.374341455,-1.548906154,1,1406.751074
Tanker,7948.089372,197.9805046,80.84157883,14.11287891,2227.974938,3.953971241,8.764570637,-1.231768015,1,516.3917566
Bulk Carrier,11818.73174,173.4823833,80.71959179,14.54839745,765.6107427,4.902990198,5.736831015,-0.724876663,0,185.8577848
Bulk Carrier,12584.32842,197.7068297,78.72059478,10.13621684,3304.201501,3.362032031,2.610333512,-1.312857653,1,1367.962036
Bulk Carrier,17253.10622,176.3043847,50.10513077,14.56743628,3737.923488,3.048499202,12.35295501,-1.160964205,0,1472.362071
Tanker,11543.83922,171.5107541,57.00316692,13.96217042,2236.802191,3.727129636,2.879765462,-1.453189665,1,469.2747093
Tanker,5568.99,165.77,67.26,14.03,46.69,1.33,9.86,1.45,1,3.6798
Bulk Carrier,11747.27,166.69,68.89,15.33,103.46,1.5,7.23,0.97,0,15.8159
Container,16177.0978,160.0,91.3690601,8.780915932,2949.315111,3.195741387,2.087853457,-1.231653143,0,1300.309613
Bulk Carrier,19403.82152,187.7424484,60.03825547,15.2599035,2070.711658,1.040660462,10.51378972,-1.361427391,0,835.2373464
Tanker,17338.91636,181.6162637,41.59294256,13.51619571,4138.12984,2.700064206,16.29918351,-0.470966893,1,1779.680052
Tanker,17288.3403,186.8311063,78.15484663,12.10832978,1039.729851,3.539711788,5.899333633,0.375286712,0,434.5674499
Container,15623.13513,186.1324242,74.58903466,16.45412978,5263.713395,5.966950492,2.247283778,1.478119965,1,1447.37639
Container,14060.65331,160.0,86.98660305,14.25805983,5003.889653,4.182991664,5.995386452,1.776925122,1,1340.607613
Container,19441.35202,173.8203042,89.13432099,14.87428619,2206.971844,3.096217734,12.40094157,0.19311439,0,841.3424445
Container,17828.16169,219.0163302,87.06264101,13.50837238,5683.061204,5.674882879,6.468753015,1.324062893,1,2845.641047
Bulk Carrier,17967.551,160.0,92.88172265,11.95043064,5059.163011,2.591348821,16.05717409,0.031017838,1,2668.86224
Container,10688.50875,160.0,47.96101581,14.51665266,1071.779903,5.951679952,6.969145307,0.021559481,0,217.1770787
Tanker,20619.33,165.23,87.62,18.26,162.67,2.62,5.22,0.67,1,36.3278
Bulk Carrier,18400.5736,195.3323617,55.13506615,10.90878366,1254.122478,4.071854357,15.27182574,-0.369598734,1,809.0120189
Bulk Carrier,15387.46214,196.0119373,73.42510107,13.82291653,3381.407652,5.750929179,16.82832909,1.760170784,1,1691.891652
Bulk Carrier,10359.66815,163.6545357,79.71327517,14.88846942,2449.775972,3.145083097,2.994175409,-1.283369101,0,454.2883024
Container,21862.58,188.15,60.24,18.0,167.61,1.98,2.11,1.2,0,40.2505
Tanker,5648.303049,198.7411294,48.91618687,15.60680635,793.9716745,4.966044754,10.90879085,-0.01132657,0,97.73814059
Container,10865.24211,213.4718189,75.81828172,16.09142948,5727.341614,0.691122997,6.806353903,-0.278381131,0,1119.81524
Bulk Carrier,16198.60769,180.5732496,70.39269861,15.17753664,4607.236668,1.726333114,16.02183309,0.140995639,0,1615.919454
Tanker,5000.0,163.2644319,89.71176643,11.23763062,2393.005345,2.02590401,8.520704978,1.135079811,0,270.405336
Container,14084.81593,181.1772718,47.13464837,16.08926805,5682.677759,2.157536879,13.62346688,0.327491387,0,1425.844629
Container,17701.29257,160.0,60.88657547,12.05798565,1668.008611,4.382367096,6.777449737,1.929532049,0,537.9115366
Tanker,9107.41,180.81,69.19,15.56,114.02,1.35,2.7,0.38,0,12.855
Bulk Carrier,11432.60515,186.1999573,51.75624752,16.1519991,2926.313105,4.899990406,7.672388147,1.81768716,1,658.5683706
Bulk Carrier,5858.939912,160.0,88.62828035,13.86928245,1225.932235,1.492207609,2.880076536,-0.699559753,0,119.2341262
Tanker,12920.85125,166.114716,61.83360732,17.42779678,4955.858578,1.731449232,7.858506205,-1.66427621,0,848.0779856
Bulk Carrier,5023.961427,206.7730525,41.54391791,11.60884681,3774.688553,1.530814096,16.4636131,0.598539555,1,641.6031168
Bulk Carrier,17558.5503,198.970236,62.23633633,11.51861646,1998.207779,1.339868964,4.678149566,-0.380804875,1,912.1922474
Bulk Carrier,15118.32489,166.818716,96.81738222,14.82809934,4854.392403,2.735074362,3.256945993,0.036334748,0,1288.557286
Bulk Carrier,13147.81936,190.2841253,65.49179281,14.75319271,3316.174445,2.245027007,10.01322688,1.205827212,0,904.4272414
Bulk Carrier,8574.112533,161.5011682,63.0282295,17.97635412,857.2449152,1.391944918,11.80504873,-0.589178211,0,117.2057371
Bulk Carrier,22209.01465,201.378305,62.92721782,12.99529578,765.0131058,4.255951401,9.828392394,0.706366346,0,491.7625125
Bulk Carrier,14503.76229,184.153717,83.57625973,15.02197211,2568.201326,5.133683208,16.73402334,-1.656591774,0,991.6560151
Container,18538.38843,191.7007991,73.63557606,8.866001913,2388.349794,5.439316687,16.90375836,-0.627067833,0,2288.556475
Container,15043.85047,191.8398364,92.67041086,18.32446798,4791.955074,3.512976753,6.164133217,0.516953782,0,1312.047329
Bulk Carrier,16371.85413,177.4564997,97.64619963,12.50701596,2877.797253,5.851857836,3.89658133,0.2281545,0,1144.930935
Bulk Carrier,10354.55268,169.8118538,68.33724051,8.44820275,2234.486801,2.9004044,11.92652446,1.293477367,0,784.948845
Bulk Carrier,8282.853652,160.0,93.74122046,13.27001187,1112.727174,2.593756731,12.85310854,1.51138351,0,193.6711637
Bulk Carrier,17990.8366,178.9604525,89.22738925,15.05942399,530.761591,3.181209105,4.130369171,-0.693077006,0,190.2775959
Container,14763.28356,160.0,75.72417322,14.41600157,2964.183306,1.748601954,11.96815689,-1.317968148,0,907.3774
Container,15003.02036,202.7372244,90.18154743,19.53418213,1359.356756,3.432376472,2.243780448,-1.287141609,0,315.2715671
Container,10672.68773,182.1960108,68.32055365,10.13458486,977.3106245,4.153163755,13.79500775,-1.895482659,0,376.8372355
Container,16487.80935,160.0,74.35086425,16.71592991,5384.666395,4.981096834,14.38810572,-1.492776176,0,1764.510305
Container,19917.10844,194.6219419,66.4666309,13.41919517,4621.348027,0.661075225,12.13747576,-0.845831783,0,2114.066006
Tanker,14358.20377,204.376417,55.13916375,19.43695924,3286.976663,3.676229563,14.4459503,-1.543217547,1,1101.681275
Bulk Carrier,19280.48771,169.7080291,51.88203701,10.25866805,4948.825599,4.477446135,7.509478168,0.715425045,1,2577.342847
Bulk Carrier,20165.63697,202.6287549,52.45349013,13.99183112,1177.902875,0.583198983,6.56897657,1.642094143,0,429.5787779
Tanker,9021.457956,198.6794742,70.44346858,15.31619272,4124.090488,0.933609678,3.668999632,-1.067900167,1,771.5319446
Bulk Carrier,18965.40912,169.0208844,94.40493912,11.79495192,4616.097935,2.121175094,2.631299138,-1.383501093,1,1968.600769
Container,23344.45883,170.2030799,40.31557315,11.52519621,576.3577184,5.884476151,16.00624383,1.975140924,1,398.2060446
Container,13355.22416,173.9817702,99.12409243,13.34832467,3772.216172,4.741693452,15.32767091,0.022102162,0,1352.515104
Bulk Carrier,10703.96712,160.2664746,97.01058027,13.34795689,3013.808404,4.136051041,4.073623445,-1.988772506,0,628.3001187
Tanker,14999.83661,193.0053247,72.68871522,13.50652807,4159.666411,0.598333413,5.801083506,-0.306662395,0,1284.145073
Bulk Carrier,20449.61895,172.6135784,45.2370924,18.16408201,3640.226314,4.409968147,5.880011438,-1.429645305,1,1138.228151
Bulk Carrier,15055.30077,160.0,48.00638634,8.0,768.7081198,2.888526046,6.657882363,0.500285165,1,354.8513643
Tanker,16948.13854,170.1297274,49.51515706,16.13640009,3103.500979,5.184447014,2.933516312,-1.001186833,0,868.7143613
Bulk Carrier,20489.98935,181.1546901,40.29094079,14.01481021,548.2447434,5.814351771,16.01640433,-1.54449344,0,310.4921327
Bulk Carrier,22160.76727,174.7883049,60.79933499,14.37814131,5317.835783,1.122896341,6.018589106,0.121483378,0,1671.207488
Container,11345.06107,171.3113888,52.34873247,21.28081262,747.9826533,3.268308435,12.16753289,0.547720976,0,113.6470153
Bulk Carrier,17809.32583,160.0,66.69968871,17.20174136,1156.265952,5.789863631,7.183157758,1.153847276,0,315.6197657
Bulk Carrier,5020.412343,220.0,69.00504639,16.67687649,1359.744961,2.381427909,17.6452857,-1.127886734,0,184.9032249
Bulk Carrier,23110.48598,164.3946383,95.37133289,15.72016483,5332.065805,3.479248507,6.247808813,-0.212108934,0,1999.383395
Bulk Carrier,8841.116358,185.7048562,66.15076988,13.5270247,2900.039942,2.487868493,4.343572629,1.132186,0,487.8635519
Container,7431.850771,168.356183,54.95890411,15.85337052,2710.182372,3.756275054,14.59494428,-0.757382883,1,447.5470125
Bulk Carrier,8482.667169,173.4430211,73.52154786,12.17598587,4559.444296,4.401812665,5.278669112,0.498945111,1,910.6100794
Container,6360.25,162.27,53.62,9.38,148.47,1.34,5.52,0.75,0,17.7381
Container,14673.74096,170.5912497,76.21747128,17.77231264,5404.602225,1.619704427,17.47180874,1.037039638,0,1424.44062
Tanker,13833.15118,194.9474215,56.50136987,14.9407341,2483.634712,4.754210031,15.31221751,1.518635724,1,894.4260525
Bulk Carrier,15410.8599,195.5002821,55.32833501,12.98366538,3375.930639,3.029328623,2.380470997,1.993315912,1,1057.776085
Container,11194.10994,185.097728,85.28652347,11.53538185,4938.099307,2.99907859,6.264862033,1.262544216,1,1399.974966
Tanker,17540.05874,190.4738323,42.78798174,10.99593842,3148.017663,5.670000941,7.642270767,-0.689316465,0,1739.493639
Bulk Carrier,8162.962677,200.5428509,50.45728719,11.20984689,2445.698783,4.709913086,5.614014664,-0.485730506,0,561.6742251
Bulk Carrier,18805.11,168.85,69.77,19.7,254.77,2.74,7.69,1.16,0,46.0734
Container,23519.18857,164.9248191,47.24246088,19.34161976,1555.646822,1.892193699,10.7241119,-0.035312287,0,504.3463942
Container,17620.84587,176.4559854,65.78629029,14.37140244,998.7031418,0.895515042,17.66521197,-1.874947783,1,456.5096526
Bulk Carrier,12591.18328,194.7429362,85.30759334,14.62948564,4885.775867,5.347295627,14.50451415,1.78206918,1,1682.412011
Container,14955.52547,160.0,99.80075505,13.29622498,2424.139267,2.832693156,11.50657536,-1.933351179,0,842.3906389
Tanker,18695.88571,174.5000971,43.91306233,12.19123239,4254.316758,3.74453446,16.3324277,-0.901664554,1,2371.496232
Container,17722.54001,166.0413186,50.13216037,18.27038775,985.0768177,4.48527751,8.812656412,-0.345937888,0,287.7935825
Container,15698.26459,160.0,44.11463691,12.59231065,993.389473,5.252979994,6.732392253,-1.599360084,0,354.1142366
Tanker,12875.8522,160.5024567,64.58157436,13.83841667,5865.219992,3.692040673,9.770495198,1.372267482,0,1399.073085
Bulk Carrier,18973.61912,170.7131926,82.92018332,14.94888335,3309.375724,4.293788899,8.702140233,0.212491247,0,1303.480839
Bulk Carrier,18734.71709,186.5515132,88.39224132,14.87585899,4448.960554,3.136052254,15.23426726,0.843658043,0,2113.319034
Tanker,18593.48102,174.6026014,54.30082913,16.06932101,1305.399965,1.300273739,16.35900531,0.477144224,1,559.0548437
Bulk Carrier,16633.20193,173.803161,55.01381941,15.81290491,2960.879633,2.968295232,9.15428938,1.293512099,0,822.5012817
Bulk Carrier,15459.703,189.3509714,80.60347724,15.95472878,5297.954823,2.518115007,11.54414347,0.09999579,0,1721.617951
Bulk Carrier,22007.69,177.8,63.78,15.58,90.95,1.32,7.28,0.86,1,27.3928
Tanker,14190.07544,172.8647071,55.64608947,15.1395239,5936.245365,4.787583124,6.418477852,-1.730728227,1,1838.228392
Bulk Carrier,6661.340259,180.0971938,93.40705053,16.50416329,3054.44161,4.939704911,17.53134921,0.369608991,1,508.4962431
Container,13773.05,184.97,84.63,15.43,65.3,2.32,5.94,0.24,0,12.8919
Container,11568.46,165.23,90.13,10.14,129.32,2.89,6.32,1.04,0,28.7285
Tanker,12514.92325,192.0015074,90.380196,10.92109354,2462.78555,5.571608803,5.058971751,0.477778076,0,914.4076241
Bulk Carrier,7165.914651,194.661565,70.593838,17.5731765,2108.929195,2.62638842,9.95712648,1.278901675,0,277.102901
Tanker,11301.63386,187.4661598,49.89928792,9.5195439,5804.019999,2.244623413,15.33716097,0.959120393,1,2288.980283
Container,12291.18848,160.0,40.58841961,13.40937688,4095.500456,4.25821305,2.64207286,0.846955374,0,823.7308466
Tanker,10935.05,178.9,60.97,13.66,274.05,1.28,5.58,1.1,0,43.0219
Container,11535.5158,220.0,87.9837301,14.8574134,3930.826493,1.807609978,2.745841214,-0.890842278,1,1146.610884
Tanker,19448.12741,219.4033909,90.07317409,15.45545037,5300.017088,4.21887838,3.697726632,1.173541232,0,2129.723477
Bulk Carrier,14749.5859,180.2244553,89.05328687,16.69790594,3785.904036,4.451038326,10.5195253,0.866843763,0,1124.767
Container,5000.0,182.1739729,52.75776103,16.51906575,2801.544017,1.239378975,12.95457048,-1.322408639,1,282.1823833
